time	V(v_cuad)	V(v_triag)
1.883179231806935e-05	4.595080e+00	1.878896e+00
1.893179231806934e-05	4.594752e+00	1.840715e+00
1.903179231806934e-05	4.594708e+00	1.802319e+00
1.904429231806934e-05	4.594723e+00	1.797498e+00
1.906929231806934e-05	4.594720e+00	1.787917e+00
1.907007356806934e-05	4.594718e+00	1.787618e+00
1.907163606806934e-05	4.594708e+00	1.787020e+00
1.907202669306934e-05	4.594702e+00	1.786871e+00
1.907280794306934e-05	4.594666e+00	1.786571e+00
1.907300325556934e-05	4.594630e+00	1.786496e+00
1.907339388056934e-05	4.412891e+00	1.783685e+00
1.907349153681934e-05	3.746844e+00	1.776011e+00
1.907368684931934e-05	2.034231e+00	1.749691e+00
1.907371068270957e-05	1.771765e+00	1.744904e+00
1.907375834949001e-05	1.213594e+00	1.734875e+00
1.907377026618513e-05	1.061157e+00	1.732196e+00
1.907379409957535e-05	7.464076e-01	1.726728e+00
1.907380005792290e-05	6.639653e-01	1.725321e+00
1.907381197461802e-05	4.975235e-01	1.722481e+00
1.907381495379180e-05	4.586363e-01	1.721763e+00
1.907382091213935e-05	4.062347e-01	1.720340e+00
1.907383282883446e-05	3.684413e-01	1.717630e+00
1.907385666222469e-05	3.423314e-01	1.712932e+00
1.907390432900514e-05	3.192209e-01	1.706148e+00
1.907399966256603e-05	3.055236e-01	1.699446e+00
1.907419032968783e-05	3.047606e-01	1.696633e+00
1.907457166393141e-05	3.043829e-01	1.696859e+00
1.907533433241858e-05	3.040732e-01	1.696503e+00
1.907685966939291e-05	3.036285e-01	1.696319e+00
1.907991034334159e-05	3.031206e-01	1.695883e+00
1.908472584026993e-05	3.027566e-01	1.696101e+00
1.909361843159981e-05	3.025590e-01	1.697942e+00
1.910559894521266e-05	3.025095e-01	1.703464e+00
1.910792900151902e-05	3.025089e-01	1.704848e+00
1.911258911413175e-05	3.025083e-01	1.707916e+00
1.912190933935719e-05	3.025240e-01	1.715061e+00
1.912423939566355e-05	3.025331e-01	1.717049e+00
1.912482190974014e-05	3.025359e-01	1.717554e+00
1.912598693789332e-05	3.025430e-01	1.718575e+00
1.912627819493162e-05	3.025452e-01	1.718834e+00
1.912686070900821e-05	3.025505e-01	1.719352e+00
1.912802573716139e-05	3.025701e-01	1.720401e+00
1.912831699419968e-05	3.025804e-01	1.720666e+00
1.912889950827627e-05	3.025709e-01	1.721197e+00
1.912904513679542e-05	3.025973e-01	1.721330e+00
1.912933639383372e-05	3.027798e-01	1.721600e+00
1.912991890791031e-05	3.028170e-01	1.722141e+00
1.913108393606349e-05	3.026066e-01	1.723221e+00
1.913295033487214e-05	3.026719e-01	1.724986e+00
1.913608270782165e-05	3.026338e-01	1.728006e+00
1.914050977004224e-05	3.026887e-01	1.732384e+00
1.914936389448343e-05	3.026811e-01	1.741352e+00
1.916707214336581e-05	3.027707e-01	1.759032e+00
1.919589061744630e-05	3.028008e-01	1.783690e+00
1.922636872346536e-05	3.028615e-01	1.802578e+00
1.926732286050999e-05	3.028283e-01	1.819974e+00
1.931604223742494e-05	3.028445e-01	1.836496e+00
1.936464073976099e-05	3.028072e-01	1.853524e+00
1.941567690734487e-05	3.028415e-01	1.872937e+00
1.948876122838456e-05	3.028211e-01	1.901557e+00
1.958876122838456e-05	3.028615e-01	1.940484e+00
1.968672601285269e-05	3.028415e-01	1.978417e+00
1.978672601285269e-05	3.028803e-01	2.017227e+00
1.979922601285269e-05	3.028677e-01	2.022079e+00
1.982422601285269e-05	3.028698e-01	2.031783e+00
1.983047601285269e-05	3.028706e-01	2.034209e+00
1.984297601285269e-05	3.028718e-01	2.039059e+00
