time	V(pwm)	V(v_triag)	V(vmed)	V(n003)
1.445237655200143e-05	2.945867e-01	3.000640e+00	2.492162e+00	1.889604e+00
1.455237655200143e-05	2.945806e-01	3.039608e+00	2.492421e+00	1.887102e+00
1.465237655200143e-05	2.945746e-01	3.078730e+00	2.492877e+00	1.884918e+00
1.475237655200143e-05	2.945711e-01	3.118100e+00	2.493646e+00	1.883287e+00
1.485237655200143e-05	2.945691e-01	3.157810e+00	2.494846e+00	1.882483e+00
1.495237655200143e-05	2.945711e-01	3.197786e+00	2.496522e+00	1.882804e+00
1.496487655200143e-05	2.945714e-01	3.202776e+00	2.496765e+00	1.882940e+00
1.498987655200143e-05	2.945725e-01	3.212706e+00	2.497262e+00	1.883256e+00
1.503987655200143e-05	2.945754e-01	3.232343e+00	2.498301e+00	1.884120e+00
1.504534530200143e-05	2.945758e-01	3.234468e+00	2.498418e+00	1.884232e+00
1.504690780200143e-05	2.945761e-01	3.235096e+00	2.498451e+00	1.884265e+00
1.504729842700143e-05	2.945841e-01	3.236170e+00	2.498461e+00	1.884273e+00
1.504739608325143e-05	2.946283e-01	3.240364e+00	2.498466e+00	1.884276e+00
1.504759139575143e-05	2.948365e-01	3.261414e+00	2.498487e+00	1.884281e+00
1.504798202075143e-05	2.952238e-01	3.316527e+00	2.498590e+00	1.884293e+00
1.504802711366427e-05	2.952328e-01	3.319809e+00	2.498607e+00	1.884294e+00
1.504811729948993e-05	2.952365e-01	3.324017e+00	2.498641e+00	1.884296e+00
1.504829767114127e-05	2.951908e-01	3.325004e+00	2.498706e+00	1.884301e+00
1.504865841444394e-05	2.950512e-01	3.321142e+00	2.498818e+00	1.884309e+00
1.504937990104928e-05	2.948460e-01	3.314512e+00	2.498975e+00	1.884324e+00
1.505082287425997e-05	2.947162e-01	3.310048e+00	2.499162e+00	1.884354e+00
1.505370882068135e-05	2.947187e-01	3.310461e+00	2.499478e+00	1.884420e+00
1.505750341416225e-05	2.947176e-01	3.310540e+00	2.500011e+00	1.884519e+00
1.506495362699044e-05	2.947114e-01	3.309860e+00	2.501270e+00	1.884761e+00
1.507612894394305e-05	2.947001e-01	3.307264e+00	2.503080e+00	1.885291e+00
